id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
0gr60jINHbKdcGlQ83rmaH,Full Circle,Half Moon Run,0.126,0.572,0.744,0.343,0.00037,0.0316,89.067,-8.968,0,2,181760.0,4.0
3a4xa0PHw0kQ3OBeKNTetz,Ragnarock (famine),Hipflask Virgins,0.0947,0.275,0.923,0.0549,0.143,0.136,167.86,-7.651,1,0,198427.0,4.0
1RIIMW4Df5Z7YTKHbXORiO,Get Rhythm,Johnny Cash,0.675,0.904,0.534,0.949,0.0,0.065,110.84,-9.003,1,5,132971.0,4.0
4j2DQgFAyVuKOBFpq4vEPR,Wristwatch,MJ Lenderman,0.000442,0.524,0.7,0.554,0.101,0.0316,96.936,-5.671,0,2,222453.0,4.0
2mG8YK6UVg0U1XLYDsyYtJ,風が吹いている,Ikimonogakari,0.109,0.484,0.745,0.426,0.0,0.0301,89.028,-3.09,1,4,464693.0,4.0
5OTFJwQOmDFtnxI8Pi5KVM,So Long,Verticals,0.000141,0.332,0.828,0.125,0.797,0.0658,77.312,-6.452,1,9,247562.0,4.0
1bTVbi6uwmGwlsXy2soxpg,Prophets Of Rage,Prophets Of Rage,0.000785,0.621,0.935,0.885,0.00191,0.0366,99.981,-5.516,0,5,190181.0,4.0
0EUz1ekarXiF1f9TWKmHNQ,Marsh Partition,Floral,0.0413,0.391,0.724,0.511,0.747,0.0441,101.652,-5.536,0,1,204455.0,5.0
1yRqfRPo6HEeBpMTjH8roN,Only Man,The Hellbound Hepcats,0.624,0.217,0.961,0.53,2.2e-05,0.129,201.496,-4.632,0,4,188840.0,4.0
1aTJHLHFasJYGpvjSmt1RP,Sneeuwbol,Maanvlinder,4.96e-05,0.405,0.895,0.218,0.091,0.0798,147.955,-8.346,0,0,310740.0,4.0
0PjkYPaIVxdI9xHvBUOUcZ,We Are Not Alone (In the Universe),A Hero for the World,0.00232,0.443,0.862,0.0768,3.96e-05,0.0406,104.989,-6.23,0,2,302968.0,4.0
0Ksm6vcrEfcFscGEhO5uzB,Raindrops and Oceans,we.own.the.sky,0.00244,0.456,0.733,0.132,0.752,0.0308,94.001,-7.752,0,4,457098.0,4.0
56sxN1yKg1dgOZXBcAHkJG,"Gone, Gone, Gone",Phillip Phillips,0.129,0.664,0.642,0.501,0.0,0.038,118.006,-5.961,1,6,209693.0,4.0
6sZE18zA8OJpr3h5VDboWH,40,evilgiane,0.00234,0.58,0.648,0.207,1.89e-05,0.0831,152.929,-8.061,1,8,64615.0,4.0
46BuJdwxV43a6qLrICP27l,California,Sons Of The East,0.145,0.251,0.656,0.53,0.00151,0.0448,82.956,-7.46,1,0,222187.0,4.0
3iR74TFFFJioMz710Otmhx,Hybrisma,Daturah,0.00803,0.457,0.633,0.152,0.888,0.0362,117.996,-9.271,0,9,571507.0,4.0
6hw8AZLVBRO0gCCnHrzeXc,Get Down,Susto,0.0163,0.603,0.693,0.735,0.000115,0.0356,113.111,-5.461,1,9,151515.0,4.0
5wFZTk08YJme74WYjauDzp,Unfuck The World,Prophets Of Rage,0.00148,0.572,0.838,0.512,0.0122,0.0318,101.979,-5.531,0,7,250213.0,4.0
3eR3lWuvQqOzhTn91nbRCa,Something That I Want,Grace Potter,0.0128,0.554,0.824,0.963,0.000802,0.0496,168.956,-5.886,1,5,163280.0,4.0
1HGCm2m8Io3QhMywwiAPWP,Retreat! Retreat!,65daysofstatic,0.00012,0.271,0.857,0.0398,0.932,0.0601,130.017,-3.442,1,4,249960.0,4.0
0TQcjGzAHl8b3FwawTbf2n,Ghost,Vince Sillen,0.000174,0.435,0.851,0.367,0.000513,0.0677,129.916,-4.645,1,2,192462.0,4.0
7sOogkDzqqUYnDDQzPIcMt,Streetball,tokold,0.00234,0.77,0.72,0.158,5.02e-06,0.231,95.978,-6.257,1,1,131760.0,4.0
3dtaA8y7Ns4hXk5bZodAEi,サラバ、愛しき悲しみたちよ,Momoiro Clover Z,0.0587,0.385,0.955,0.48,7.9e-05,0.0881,168.017,-4.21,1,7,298787.0,4.0
2ItPID4dgSL1t1ZbZCrg5S,Kinky Afro,Happy Mondays,0.000518,0.547,0.764,0.722,1.92e-05,0.0419,117.722,-12.552,1,5,239493.0,4.0
5bmOTUs7ijijiX7jGtL7z1,I Will Always Remember You,Bogdan Lech,0.0235,0.624,0.387,0.212,0.000179,0.0248,82.99,-8.193,1,0,232600.0,3.0
1KT1etmlEs7zL37ngB0Z0U,Shine,Leo Ieiri,0.363,0.703,0.889,0.342,0.0,0.044,127.016,-2.589,0,6,215410.0,4.0
1DjzJidvbZjAoox0CltfAh,Spin Cycle - Single Version,feedtherightwolf,2.54e-05,0.463,0.954,0.185,0.00233,0.0727,120.031,-1.96,1,10,263834.0,4.0
72T5smavl9ONfOwI0gHf1A,You're Dead,Norma Tanega,0.346,0.627,0.539,0.754,0.0,0.0328,112.259,-8.529,0,0,143067.0,5.0
2WZpFNaTgPC8wERMmTsTQQ,leviathan,mouse on the keys,0.00589,0.213,0.882,0.182,0.83,0.0388,163.084,-7.356,1,10,349080.0,4.0
5P9nqVXwUUMQeUCJJuCXAx,"Little Bubble, Where You Going?",Piglet,0.235,0.529,0.828,0.342,0.902,0.0361,132.033,-6.686,1,7,297000.0,4.0
0WOLMlN0I6doNQ8W8hhsVD,Loving Arms,The Bellfuries,0.609,0.603,0.732,0.614,0.0,0.0299,93.528,-5.543,1,2,198760.0,4.0
7eGNiGg6SE27VkSrpZMVTD,Radioactive,Imagine Dragons,0.0999,0.448,0.784,0.237,0.000108,0.0625,136.239,-3.686,1,9,186813.0,4.0
5acN9bxb19MOJFwLGn9b95,Sweet Dreams,Sawce,0.0429,0.387,0.834,0.468,0.773,0.037,130.023,-4.504,1,0,327520.0,4.0
058T5UiAWu70uTAYDN67kY,Find Yourself,Lukas Nelson and Promise of the Real,0.571,0.733,0.585,0.899,0.00523,0.0314,133.512,-5.551,1,8,376333.0,4.0
7N0Ac3pMWOqoAa6LWlV1Sf,MUSA DE LA LUNA Y MAR,Albert Vico,0.0282,0.641,0.597,0.65,0.0,0.0284,119.953,-8.057,1,2,275000.0,4.0
20p68WHhPw61SVSStjQNfb,Live a Little,The Whiskey State,0.00178,0.699,0.683,0.757,0.000304,0.0495,130.055,-7.437,1,6,241165.0,4.0
2j3qLgBCLoLhv4zbzNmc16,Worth Everything Ever Wished for,The End Of The Ocean,0.495,0.467,0.659,0.11,0.955,0.0261,104.976,-8.717,1,11,354320.0,4.0
70rOXPlQGVjEkboInw5EBk,She Burns,Foy Vance,0.718,0.73,0.403,0.502,0.00242,0.0483,124.901,-10.146,1,4,229227.0,4.0
7rBMZvgeWnOTHWUh3Pvw51,Chloe Dancer/Crown Of Thorns,Mother Love Bone,0.0894,0.353,0.362,0.267,3.38e-05,0.031,141.285,-13.502,1,2,502040.0,4.0
2ZrN9Pbr57Wd3Eb6IweWnr,Woman Love,Gene Vincent,0.644,0.461,0.523,0.855,0.0,0.0693,132.734,-14.131,1,7,153507.0,4.0
67VGpK85BQ8xTYNAfN9cZc,Sea Dragon,Covet,0.0696,0.287,0.705,0.417,0.59,0.0328,169.994,-10.91,0,11,334987.0,4.0
3gujsZiEWclsARBSGuxlRD,Lilitu,Blueneck,0.0485,0.34,0.437,0.0456,0.838,0.0323,139.991,-9.997,0,9,572333.0,4.0
1lpDYnkP3GB02qeFYRUWvb,Sexy And I Know It,LMFAO,0.1,0.708,0.861,0.795,0.0,0.316,130.043,-4.225,1,7,199480.0,4.0
5uXclgOvX03R08vUvcOq96,Misleader,A Balance Between,0.000444,0.513,0.977,0.189,2.84e-06,0.103,125.946,-3.619,1,8,207675.0,4.0
7zSsjRWzoGtneyY0drqrlb,Cities in Dust,Andrew Thomases,0.00514,0.582,0.789,0.418,6.73e-06,0.0629,120.045,-8.546,0,10,254087.0,4.0
