key,energy,mode,acousticness,danceability,valence,instrumentalness,speechiness,loudness,tempo,track_name,artist_name,id
-0.949813948370405,-0.6779875988765196,-1.412042857237289,-0.646988440693594,-0.9657351363740309,-1.2073629701679727,1.777352378024424,-0.5607664871506219,-0.5328475652700773,-1.9079969398937866,Don't Mess up Your Chances,Lost In A Detail,6sXMxl2lCm4Bjgao8YVBek
-0.1136578326672943,0.46577472915561663,0.7081938022451633,-0.4407568529491658,0.6095858226802414,0.5294291891978431,-0.5945564556315395,0.21372239748178298,-0.16990487625393463,-0.06352079543455905,All I Want,Toad The Wet Sprocket,2GHYJ0dhVds3PODKnTdiGE
-0.6710952431360347,0.7413174718179035,-1.412042857237289,-0.6320861180143499,0.3095246876222853,-0.3217139882397088,-0.5945762072224448,-0.10610702046358252,0.37917771468086015,-0.6794391426728523,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq
-1.2285326536047754,-0.39204701686848537,-1.412042857237289,0.7936522089815548,1.966680501692364,1.070020126218991,-0.5945518507884986,1.2672781271841635,-1.6415546509700116,-1.1707915402478686,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,2XBsQSZqHPPAtZpRG6TvIm
1.279935693504557,1.0948440095732912,-1.412042857237289,1.853372932838914,-0.010995161189623218,1.380572366635395,-0.5920623683799608,0.18863773725077407,-1.0972912160719455,1.7949067353869559,Rock A-Beatin' Boogie,Bill Haley & His Comets,0dzm5UV2KgrI8aMH3DiHgQ
0.16506087256707594,-0.4804286513073323,0.7081938022451633,-0.5926777535959044,-0.6793131438187087,-0.29871011857923446,1.6557150146784305,-0.27229289449401756,-0.30032328649790946,-0.5217949059893143,No Signal,Chon,2ZtixXKNeEMfQqT4iYGqjp
1.279935693504557,0.9076829013498507,0.7081938022451633,-0.6707907616396089,-0.454267292525241,-0.7396176204049936,-0.5942952828356693,-0.21898799150312329,0.6123043879576189,-0.7643368647530369,One To Another,The Charlatans,5oPwLyvl5yLdlTsr4gT2at
-0.949813948370405,-2.3884321712518495,0.7081938022451633,2.50327978301706,-0.9861938501279824,-1.1613552308470239,-0.5945165469918512,-0.5168683317463559,-1.6584216970985626,0.7982184078231102,Landslide,Molly Parden,2AhqPhQ4E1r9v2i2TfJHR0
-1.5072513588391456,1.0428548128445578,0.7081938022451633,-0.6654507626795465,0.2890659738683337,-0.22969850959781146,-0.5945762072224448,0.22626472759728766,0.28911973624448967,-0.1994343012865163,Il mondo scompare,Simone Contin,0SVHmzoAeJ64v9rexpYFl8
-0.949813948370405,-2.7575554680258576,0.7081938022451633,2.395651897000297,-1.422646410212283,-1.5857766260827761,-0.5942981789633681,-0.5231394968041082,-2.42075194265861,-1.6257867535469717,I'm on Fire,The Staves,14WxdK01IyDl3bumvqufxH
-1.5072513588391456,0.2422211832220626,0.7081938022451633,2.602628600878688,1.6870780803883587,1.0316803434515338,-0.5945762072224448,0.23253589265503988,-1.2867442877658488,-0.2816317550385162,Maybellene - Single Version,Chuck Berry,3xl7hbVVRhdej6ZuypMmW9
0.16506087256707594,0.45017797013699656,-1.412042857237289,-0.6661130881319572,-0.15420615746728447,-1.441235645049462,1.7570794841334254,-0.3898772393268725,0.0773780678807151,-0.7810206654950342,Paris,Artyom,5480ixMtZrxXUK35jUlR8K
-0.39237653790166455,-0.8911433054643263,0.7081938022451633,-0.6683401574656889,-0.4133498650173378,-1.2188649049982099,-0.35072225499071535,-0.5983934774971355,-1.8798016775357944,-1.568438197624575,China Cup,Black Dog Days,4AtOah0XwgtIJmqS8bYPjo
1.5586543987389272,-0.24127834635515827,-1.412042857237289,-0.48836149484119556,0.17313326259594125,1.1658695831376344,-0.5913904667538592,-0.4572922636977095,-0.847899891171227,0.0315350789278438,Pierced Through the Heart,Glory's Gate,0EGKEgnq50aHRHst8JMHkV
0.7224982830358164,0.4033876930811364,0.7081938022451633,-0.3807336088244325,0.13903540633935524,-0.8124632076631623,-0.5256483679930486,-0.03712420482830767,-1.9412459170040877,0.2813420453364439,68 KILL,Staytus,7IqOoohnytE4kDEf9NktSZ
0.16506087256707594,-0.22048266766366487,-1.412042857237289,0.02369887055394244,-1.183961416416181,-1.3300502750238359,1.5543505452234365,-0.4682668025487759,-0.5964001855044392,-0.5781469343144046,The Solar Apex,Wanheda,0IsUQ9CdJL1fftX783YJcQ
-1.5072513588391456,1.1520321259748976,0.7081938022451633,-0.6650368092717897,-0.5633804325463162,0.46425155849316563,-0.5945762072224448,0.22940031012616366,0.9035621309274198,0.828146381793822,Rescue Light,Hurricane on Saturn,2U64TRs9DKbGzs2fPxSGdx
0.44377957780144617,0.008269797942761904,0.7081938022451633,0.20169883588935816,0.5891271089262898,0.8016416468467897,2.171225745049545,-0.5058937928952895,0.04695714539886416,-0.9421045296918554,世界樹,LOOP POOL,4YHuamtEs3djrXVieR45n4
-1.2285326536047754,-1.166686048126614,0.7081938022451633,-0.6636293676854167,0.93010567149215,1.2847229097167516,2.127783829568833,-0.33030117127822606,-0.5328475652700773,0.022534184500561816,Disco,Threefiftysixam,3OKR9pIKluSzRTNCJxPBa7
-0.949813948370405,-0.05931615780459163,0.7081938022451633,-0.6452912317217911,-1.1294048464056436,-0.48657505413977536,1.9974580831266977,-0.5591986958861838,0.19273661550991228,0.07236056436587252,Lotus,3nd,2mY7Y5HhcLZocjb4f3kraE
